,chrom,index,coverage
256,chr1,256,5405
257,chr1,257,813
258,chr1,258,871
259,chr1,259,50
260,chr1,260,150
261,chr1,261,911
262,chr1,262,5436
263,chr1,263,67
264,chr1,264,714
265,chr1,265,239
266,chr1,266,5169
267,chr1,267,2840
268,chr1,268,3121
269,chr1,269,153
270,chr1,270,492
271,chr1,271,4218
272,chr1,272,1230
273,chr1,273,2330
274,chr1,274,338
275,chr1,275,127828
276,chr1,276,7390
277,chr1,277,4143
278,chr1,278,96
279,chr1,279,2760
280,chr1,280,208
281,chr1,281,6587
282,chr1,282,1970
283,chr1,283,1684
284,chr1,284,3120
285,chr1,285,8181
286,chr1,286,246
287,chr1,287,665
288,chr1,288,3492
289,chr1,289,2138
290,chr1,290,4423
291,chr1,291,46
292,chr1,292,56
293,chr1,293,3540
294,chr1,294,6944
295,chr1,295,143
296,chr1,296,20
297,chr1,297,28
298,chr1,298,53
299,chr1,299,0
300,chr1,300,6
301,chr1,301,56
302,chr1,302,11
303,chr1,303,22
304,chr1,304,39
305,chr1,305,7
306,chr1,306,38
307,chr1,307,13
308,chr1,308,36
309,chr1,309,140
310,chr1,310,23
311,chr1,311,106
312,chr1,312,12581
313,chr1,313,68
314,chr1,314,2936
315,chr1,315,423
316,chr1,316,74
317,chr1,317,461
318,chr1,318,4844
319,chr1,319,4934
320,chr1,320,187
321,chr1,321,21
322,chr1,322,27
323,chr1,323,28924
324,chr1,324,607
325,chr1,325,9638
326,chr1,326,5482
327,chr1,327,7567
328,chr1,328,977
329,chr1,329,133
330,chr1,330,2578
331,chr1,331,10829
332,chr1,332,2667
333,chr1,333,1592
334,chr1,334,16584
335,chr1,335,80
336,chr1,336,58
337,chr1,337,539
338,chr1,338,45
339,chr1,339,332
340,chr1,340,17
341,chr1,341,7
342,chr1,342,13
343,chr1,343,9
344,chr1,344,12
345,chr1,345,30
346,chr1,346,9
347,chr1,347,21
348,chr1,348,8
349,chr1,349,29
350,chr1,350,21
351,chr1,351,10
352,chr1,352,10
353,chr1,353,481
354,chr1,354,3333
355,chr1,355,437
356,chr1,356,22346
357,chr1,357,202
358,chr1,358,31836
359,chr1,359,964
360,chr1,360,4488
361,chr1,361,785
362,chr1,362,3310
363,chr1,363,2480
364,chr1,364,468
365,chr1,365,957
366,chr1,366,846
367,chr1,367,4588
368,chr1,368,439
369,chr1,369,3244
370,chr1,370,25
371,chr1,371,6
372,chr1,372,15
373,chr1,373,13
374,chr1,374,8
375,chr1,375,64
376,chr1,376,99
377,chr1,377,9
378,chr1,378,158
379,chr1,379,2382
380,chr1,380,13430
381,chr1,381,1098
382,chr1,382,1044
383,chr1,383,1628
384,chr1,384,3391
385,chr1,385,50
386,chr1,386,14
387,chr1,387,10
388,chr1,388,13
389,chr1,389,43
390,chr1,390,41
391,chr1,391,8961
392,chr1,392,13
393,chr1,393,3463
394,chr1,394,4483
395,chr1,395,1335
396,chr1,396,92
397,chr1,397,3201
398,chr1,398,2577
399,chr1,399,6648
400,chr1,400,10625
401,chr1,401,489
402,chr1,402,311
403,chr1,403,2931
404,chr1,404,1684
405,chr1,405,9696
406,chr1,406,97
407,chr1,407,6127
408,chr1,408,7145
409,chr1,409,2145
410,chr1,410,1141
411,chr1,411,253
412,chr1,412,801
413,chr1,413,37
414,chr1,414,1017
415,chr1,415,1508
416,chr1,416,216
417,chr1,417,60
418,chr1,418,20
419,chr1,419,102
420,chr1,420,511
421,chr1,421,17
422,chr1,422,29
423,chr1,423,134
424,chr1,424,41
425,chr1,425,61
426,chr1,426,2676
427,chr1,427,232
428,chr1,428,363
429,chr1,429,41717
430,chr1,430,168
431,chr1,431,29628
432,chr1,432,910
433,chr1,433,3253
434,chr1,434,139
435,chr1,435,46
436,chr1,436,6361
437,chr1,437,170
438,chr1,438,1421
439,chr1,439,399
440,chr1,440,32
441,chr1,441,993
442,chr1,442,68
443,chr1,443,149
444,chr1,444,889
445,chr1,445,2014
446,chr1,446,91
447,chr1,447,91
448,chr1,448,61
449,chr1,449,53
450,chr1,450,44
451,chr1,451,731
452,chr1,452,10346
453,chr1,453,1638
454,chr1,454,2071
455,chr1,455,174
456,chr1,456,37
457,chr1,457,237
458,chr1,458,852
459,chr1,459,2773
460,chr1,460,21407
461,chr1,461,4670
462,chr1,462,7662
463,chr1,463,235
464,chr1,464,239
465,chr1,465,3207
466,chr1,466,80
467,chr1,467,5748
468,chr1,468,1827
469,chr1,469,24
470,chr1,470,2992
471,chr1,471,6662
472,chr1,472,37
473,chr1,473,140
474,chr1,474,77
475,chr1,475,180
476,chr1,476,25
477,chr1,477,1500
478,chr1,478,5222
479,chr1,479,20
480,chr1,480,104
481,chr1,481,8
482,chr1,482,12
483,chr1,483,5
484,chr1,484,26
485,chr1,485,22
486,chr1,486,23
487,chr1,487,80
488,chr1,488,40
489,chr1,489,374
490,chr1,490,5
491,chr1,491,19
492,chr1,492,146
493,chr1,493,36
494,chr1,494,8
495,chr1,495,79
496,chr1,496,180
497,chr1,497,51
498,chr1,498,61
499,chr1,499,11
500,chr1,500,142
501,chr1,501,30
502,chr1,502,21
503,chr1,503,37
504,chr1,504,128
505,chr1,505,15
506,chr1,506,21
507,chr1,507,1442
508,chr1,508,373
509,chr1,509,331
510,chr1,510,278
511,chr1,511,133
512,chr1,512,256
513,chr1,513,83
514,chr1,514,392
515,chr1,515,72
516,chr1,516,324
517,chr1,517,3246
518,chr1,518,8073
519,chr1,519,1281
520,chr1,520,97
521,chr1,521,102
522,chr1,522,10820
523,chr1,523,1122
524,chr1,524,3017
525,chr1,525,28991
526,chr1,526,650
527,chr1,527,331
528,chr1,528,7587
529,chr1,529,2564
530,chr1,530,231
531,chr1,531,1370
532,chr1,532,15786
533,chr1,533,1176
534,chr1,534,1977
535,chr1,535,3714
536,chr1,536,2167
537,chr1,537,1285
538,chr1,538,197
539,chr1,539,166
540,chr1,540,3
541,chr1,541,2
542,chr1,542,1863
543,chr1,543,1045
544,chr1,544,12888
545,chr1,545,2378
546,chr1,546,1850
547,chr1,547,56
548,chr1,548,51
549,chr1,549,84
550,chr1,550,1089
551,chr1,551,202
552,chr1,552,285
553,chr1,553,1409
554,chr1,554,28
555,chr1,555,2153
556,chr1,556,1089
557,chr1,557,38
558,chr1,558,57
559,chr1,559,9
560,chr1,560,14
561,chr1,561,5
562,chr1,562,17
563,chr1,563,7
564,chr1,564,76
565,chr1,565,63
566,chr1,566,29
567,chr1,567,55
568,chr1,568,12
569,chr1,569,29
570,chr1,570,1023
571,chr1,571,23
572,chr1,572,10
573,chr1,573,10
574,chr1,574,14
575,chr1,575,9
576,chr1,576,7
577,chr1,577,1
578,chr1,578,16
579,chr1,579,16
580,chr1,580,169
581,chr1,581,16
582,chr1,582,8
583,chr1,583,2
584,chr1,584,9
585,chr1,585,6502
586,chr1,586,19
587,chr1,587,54
588,chr1,588,26
589,chr1,589,861
590,chr1,590,9880
591,chr1,591,3099
592,chr1,592,392
593,chr1,593,25
594,chr1,594,394
595,chr1,595,93
596,chr1,596,26
597,chr1,597,32
598,chr1,598,15
599,chr1,599,32
600,chr1,600,199
601,chr1,601,24
602,chr1,602,64
603,chr1,603,720
604,chr1,604,15
605,chr1,605,5
606,chr1,606,18
607,chr1,607,10
608,chr1,608,20
609,chr1,609,42
610,chr1,610,9
611,chr1,611,15
612,chr1,612,69
613,chr1,613,26
614,chr1,614,8
615,chr1,615,26
616,chr1,616,30
617,chr1,617,16
618,chr1,618,11
619,chr1,619,11
620,chr1,620,19
621,chr1,621,914
622,chr1,622,136
623,chr1,623,98
624,chr1,624,94
625,chr1,625,119
626,chr1,626,123
627,chr1,627,35
628,chr1,628,19
629,chr1,629,4408
630,chr1,630,245
631,chr1,631,149
632,chr1,632,321
633,chr1,633,170
634,chr1,634,42
635,chr1,635,11
636,chr1,636,26
637,chr1,637,42
638,chr1,638,916
639,chr1,639,790
640,chr1,640,1063
641,chr1,641,661
642,chr1,642,286
643,chr1,643,143
644,chr1,644,8
645,chr1,645,68
646,chr1,646,30
647,chr1,647,16
648,chr1,648,18
649,chr1,649,13
650,chr1,650,9
651,chr1,651,9
652,chr1,652,4112
653,chr1,653,2634
654,chr1,654,117
655,chr1,655,168
656,chr1,656,13150
657,chr1,657,30
658,chr1,658,893
659,chr1,659,128
660,chr1,660,225
661,chr1,661,61
662,chr1,662,14
663,chr1,663,16
664,chr1,664,11
665,chr1,665,10
666,chr1,666,13
667,chr1,667,27
668,chr1,668,489
669,chr1,669,152
670,chr1,670,6
671,chr1,671,9
672,chr1,672,31
673,chr1,673,200
674,chr1,674,5730
675,chr1,675,48
676,chr1,676,166
677,chr1,677,301
678,chr1,678,48324
679,chr1,679,48
680,chr1,680,51
681,chr1,681,2266
682,chr1,682,18
683,chr1,683,24
684,chr1,684,14
685,chr1,685,51
686,chr1,686,200
687,chr1,687,26719
688,chr1,688,127
689,chr1,689,929
690,chr1,690,13
691,chr1,691,20
692,chr1,692,8
693,chr1,693,12
694,chr1,694,11
695,chr1,695,77
696,chr1,696,105
697,chr1,697,15
698,chr1,698,57
699,chr1,699,24
700,chr1,700,20
701,chr1,701,4
702,chr1,702,47
703,chr1,703,29
704,chr1,704,9
705,chr1,705,30
706,chr1,706,1869
707,chr1,707,11035
708,chr1,708,639
709,chr1,709,1218
710,chr1,710,29
711,chr1,711,245
712,chr1,712,22
713,chr1,713,34
714,chr1,714,39
715,chr1,715,11368
716,chr1,716,30
717,chr1,717,128
718,chr1,718,53
719,chr1,719,37
720,chr1,720,4
721,chr1,721,11
722,chr1,722,9
723,chr1,723,9
724,chr1,724,6
725,chr1,725,8
726,chr1,726,12
727,chr1,727,4782
728,chr1,728,68
729,chr1,729,9
730,chr1,730,18
731,chr1,731,14
732,chr1,732,8
733,chr1,733,9
734,chr1,734,59
735,chr1,735,7
736,chr1,736,19
737,chr1,737,6
738,chr1,738,12
739,chr1,739,12
740,chr1,740,15
741,chr1,741,6
742,chr1,742,14
743,chr1,743,14
744,chr1,744,19
745,chr1,745,61
746,chr1,746,675
747,chr1,747,15
748,chr1,748,30
749,chr1,749,6
750,chr1,750,91
751,chr1,751,6658
752,chr1,752,9858
753,chr1,753,58
754,chr1,754,14
755,chr1,755,94
756,chr1,756,116
757,chr1,757,26
758,chr1,758,30
759,chr1,759,28
760,chr1,760,151
761,chr1,761,1272
762,chr1,762,12418
763,chr1,763,42
764,chr1,764,8
765,chr1,765,21
766,chr1,766,41
767,chr1,767,10
768,chr1,768,8
769,chr1,769,25
770,chr1,770,18
771,chr1,771,1633
772,chr1,772,13
773,chr1,773,17
774,chr1,774,26
775,chr1,775,12361
776,chr1,776,206
777,chr1,777,15
778,chr1,778,15
779,chr1,779,17
780,chr1,780,1565
781,chr1,781,817
782,chr1,782,6758
783,chr1,783,6313
784,chr1,784,20667
785,chr1,785,152
786,chr1,786,72
787,chr1,787,427
788,chr1,788,8
789,chr1,789,19
790,chr1,790,2890
791,chr1,791,15325
792,chr1,792,567
793,chr1,793,11
794,chr1,794,9
795,chr1,795,334
796,chr1,796,23
797,chr1,797,32
798,chr1,798,10
799,chr1,799,105
800,chr1,800,9
801,chr1,801,16
802,chr1,802,5
803,chr1,803,14
804,chr1,804,10
805,chr1,805,3871
806,chr1,806,9
807,chr1,807,23
808,chr1,808,34
809,chr1,809,479
810,chr1,810,11
811,chr1,811,111
812,chr1,812,10
813,chr1,813,18
814,chr1,814,25
815,chr1,815,1478
816,chr1,816,210
817,chr1,817,20
818,chr1,818,3376
819,chr1,819,1171
820,chr1,820,162
821,chr1,821,785
822,chr1,822,26
823,chr1,823,22
824,chr1,824,22
825,chr1,825,22
826,chr1,826,91
827,chr1,827,15
828,chr1,828,20
829,chr1,829,4
830,chr1,830,17
831,chr1,831,2
832,chr1,832,6
833,chr1,833,11
834,chr1,834,43
835,chr1,835,30
836,chr1,836,122
837,chr1,837,27
838,chr1,838,21
839,chr1,839,15
840,chr1,840,87
841,chr1,841,11
842,chr1,842,3
843,chr1,843,89
844,chr1,844,21
845,chr1,845,88
846,chr1,846,118
847,chr1,847,1067
848,chr1,848,49
849,chr1,849,1370
850,chr1,850,721
851,chr1,851,561
852,chr1,852,23
853,chr1,853,1375
854,chr1,854,991
855,chr1,855,132
856,chr1,856,151
857,chr1,857,3678
858,chr1,858,18
859,chr1,859,115
860,chr1,860,43
861,chr1,861,8936
862,chr1,862,104
863,chr1,863,154
864,chr1,864,35
865,chr1,865,18
866,chr1,866,16
867,chr1,867,13
868,chr1,868,708
869,chr1,869,43
870,chr1,870,107
871,chr1,871,2178
872,chr1,872,5716
873,chr1,873,7733
874,chr1,874,37
875,chr1,875,2979
876,chr1,876,8
877,chr1,877,34
878,chr1,878,504
879,chr1,879,76
880,chr1,880,10
881,chr1,881,36
882,chr1,882,11
883,chr1,883,24
884,chr1,884,8
885,chr1,885,11
886,chr1,886,7
887,chr1,887,8
888,chr1,888,8
889,chr1,889,17
890,chr1,890,45
891,chr1,891,46
892,chr1,892,1397
893,chr1,893,1863
894,chr1,894,5313
895,chr1,895,7287
896,chr1,896,2630
897,chr1,897,123
898,chr1,898,948
899,chr1,899,38
900,chr1,900,1537
901,chr1,901,1414
902,chr1,902,137
903,chr1,903,231
904,chr1,904,5670
905,chr1,905,33
906,chr1,906,15
907,chr1,907,24
908,chr1,908,24
909,chr1,909,18
910,chr1,910,44
911,chr1,911,13
912,chr1,912,21
913,chr1,913,378
914,chr1,914,3272
915,chr1,915,919
916,chr1,916,34
917,chr1,917,174
918,chr1,918,12930
919,chr1,919,1567
920,chr1,920,450
921,chr1,921,5442
922,chr1,922,35
923,chr1,923,63
924,chr1,924,53
925,chr1,925,7850
926,chr1,926,1033
927,chr1,927,801
928,chr1,928,611
929,chr1,929,497
930,chr1,930,216
931,chr1,931,115
932,chr1,932,7831
933,chr1,933,65646
934,chr1,934,91
935,chr1,935,999
936,chr1,936,6008
937,chr1,937,4735
938,chr1,938,3241
939,chr1,939,317
940,chr1,940,819
941,chr1,941,30
942,chr1,942,102
943,chr1,943,9478
944,chr1,944,25
945,chr1,945,235
946,chr1,946,33
947,chr1,947,88
948,chr1,948,73
949,chr1,949,981
950,chr1,950,20
951,chr1,951,17
952,chr1,952,57
953,chr1,953,352
954,chr1,954,109
955,chr1,955,41
956,chr1,956,54
957,chr1,957,359
958,chr1,958,22
959,chr1,959,29
960,chr1,960,9
961,chr1,961,14
962,chr1,962,15
963,chr1,963,5
964,chr1,964,6
965,chr1,965,21
966,chr1,966,13
967,chr1,967,54
968,chr1,968,165
969,chr1,969,120999
970,chr1,970,22
971,chr1,971,27756
972,chr1,972,655
973,chr1,973,43
974,chr1,974,7
975,chr1,975,210
976,chr1,976,24
977,chr1,977,25
978,chr1,978,52
979,chr1,979,27
980,chr1,980,4063
981,chr1,981,39
982,chr1,982,19
983,chr1,983,18
984,chr1,984,10
985,chr1,985,17
986,chr1,986,19
987,chr1,987,7
988,chr1,988,11
989,chr1,989,19
990,chr1,990,11
991,chr1,991,28
992,chr1,992,32
993,chr1,993,17
994,chr1,994,9027
995,chr1,995,25
996,chr1,996,16
997,chr1,997,7
998,chr1,998,19
999,chr1,999,18
1000,chr1,1000,22
1001,chr1,1001,712
1002,chr1,1002,496
1003,chr1,1003,2158
1004,chr1,1004,581
1005,chr1,1005,2850
1006,chr1,1006,2968
1007,chr1,1007,4173
1008,chr1,1008,641
1009,chr1,1009,561
1010,chr1,1010,262
1011,chr1,1011,511
1012,chr1,1012,260
1013,chr1,1013,632
1014,chr1,1014,1724
1015,chr1,1015,197
1016,chr1,1016,37
1017,chr1,1017,6544
1018,chr1,1018,3620
1019,chr1,1019,233
1020,chr1,1020,33
1021,chr1,1021,4
1022,chr1,1022,1607
1023,chr1,1023,3206
1024,chr1,1024,15
1025,chr1,1025,29
1026,chr1,1026,10
1027,chr1,1027,12
1028,chr1,1028,296
1029,chr1,1029,11
1030,chr1,1030,9
1031,chr1,1031,19
1032,chr1,1032,29
1033,chr1,1033,9
1034,chr1,1034,11
1035,chr1,1035,14
1036,chr1,1036,16
1037,chr1,1037,18
1038,chr1,1038,7
1039,chr1,1039,19
1040,chr1,1040,899
1041,chr1,1041,7501
1042,chr1,1042,676
1043,chr1,1043,31
1044,chr1,1044,62
1045,chr1,1045,5
1046,chr1,1046,83
1047,chr1,1047,8
1048,chr1,1048,21
1049,chr1,1049,19
1050,chr1,1050,22
1051,chr1,1051,34
1052,chr1,1052,19
1053,chr1,1053,21
1054,chr1,1054,21
1055,chr1,1055,17
1056,chr1,1056,9
1057,chr1,1057,7
1058,chr1,1058,16
1059,chr1,1059,12
1060,chr1,1060,39
1061,chr1,1061,8
1062,chr1,1062,3743
1063,chr1,1063,23
1064,chr1,1064,2371
1065,chr1,1065,52
1066,chr1,1066,18
1067,chr1,1067,10
1068,chr1,1068,11
1069,chr1,1069,9
1070,chr1,1070,37
1071,chr1,1071,11
1072,chr1,1072,9
1073,chr1,1073,8
1074,chr1,1074,12
1075,chr1,1075,56
1076,chr1,1076,559
1077,chr1,1077,30
1078,chr1,1078,68
1079,chr1,1079,51
1080,chr1,1080,1898
1081,chr1,1081,800
1082,chr1,1082,55
1083,chr1,1083,33
1084,chr1,1084,18
1085,chr1,1085,8
1086,chr1,1086,216
1087,chr1,1087,172
1088,chr1,1088,28
1089,chr1,1089,108
1090,chr1,1090,163
1091,chr1,1091,1290
1092,chr1,1092,69635
1093,chr1,1093,1199
1094,chr1,1094,1611
1095,chr1,1095,12318
1096,chr1,1096,5974
1097,chr1,1097,1475
1098,chr1,1098,197
1099,chr1,1099,1958
1100,chr1,1100,294
1101,chr1,1101,6997
1102,chr1,1102,4344
1103,chr1,1103,35
1104,chr1,1104,154
1105,chr1,1105,3502
1106,chr1,1106,165
1107,chr1,1107,244
1108,chr1,1108,1743
1109,chr1,1109,989
1110,chr1,1110,12
1111,chr1,1111,156
1112,chr1,1112,299
1113,chr1,1113,555
1114,chr1,1114,12619
1115,chr1,1115,117
1116,chr1,1116,3924
1117,chr1,1117,3616
1118,chr1,1118,122
1119,chr1,1119,5325
1120,chr1,1120,5743
1121,chr1,1121,294
1122,chr1,1122,15036
1123,chr1,1123,1120
1124,chr1,1124,27
1125,chr1,1125,5
1126,chr1,1126,4
1127,chr1,1127,43
1128,chr1,1128,12
1129,chr1,1129,498
1130,chr1,1130,410
1131,chr1,1131,3065
1132,chr1,1132,17082
1133,chr1,1133,100
1134,chr1,1134,4219
1135,chr1,1135,368
1136,chr1,1136,3436
1137,chr1,1137,951
1138,chr1,1138,113
1139,chr1,1139,25507
1140,chr1,1140,516
1141,chr1,1141,85
1142,chr1,1142,2056
1143,chr1,1143,3894
1144,chr1,1144,1529
1145,chr1,1145,1625
1146,chr1,1146,26
1147,chr1,1147,69
1148,chr1,1148,15
1149,chr1,1149,3903
1150,chr1,1150,3937
1151,chr1,1151,2455
1152,chr1,1152,62706
1153,chr1,1153,1845
1154,chr1,1154,372
1155,chr1,1155,89
1156,chr1,1156,20
1157,chr1,1157,9
1158,chr1,1158,5
1159,chr1,1159,13
1160,chr1,1160,45
1161,chr1,1161,238
1162,chr1,1162,547
1163,chr1,1163,994
1164,chr1,1164,269
1165,chr1,1165,81
1166,chr1,1166,207
1167,chr1,1167,174
1168,chr1,1168,9
1169,chr1,1169,11243
1170,chr1,1170,4309
1171,chr1,1171,668
1172,chr1,1172,262
1173,chr1,1173,69
1174,chr1,1174,48
1175,chr1,1175,167
1176,chr1,1176,3057
1177,chr1,1177,18
1178,chr1,1178,52
1179,chr1,1179,1281
1180,chr1,1180,2573
1181,chr1,1181,309
1182,chr1,1182,19
1183,chr1,1183,13767
1184,chr1,1184,1871
1185,chr1,1185,610
1186,chr1,1186,15
1187,chr1,1187,21
1188,chr1,1188,6
1189,chr1,1189,11
1190,chr1,1190,89
1191,chr1,1191,673
1192,chr1,1192,65
1193,chr1,1193,26
1194,chr1,1194,118
1195,chr1,1195,647
1196,chr1,1196,2085
1197,chr1,1197,794
1198,chr1,1198,75
1199,chr1,1199,14
1200,chr1,1200,224
1201,chr1,1201,683
1202,chr1,1202,43
1203,chr1,1203,160
1204,chr1,1204,265
1205,chr1,1205,6182
1206,chr1,1206,486
1207,chr1,1207,30
1208,chr1,1208,3322
1209,chr1,1209,133
1210,chr1,1210,8
1211,chr1,1211,945
1212,chr1,1212,412
1213,chr1,1213,309
1214,chr1,1214,11
1215,chr1,1215,0
1216,chr1,1216,0
1217,chr1,1217,0
1218,chr1,1218,0
1219,chr1,1219,0
1220,chr1,1220,0
1221,chr1,1221,0
1222,chr1,1222,0
1223,chr1,1223,0
1224,chr1,1224,0
1225,chr1,1225,0
1226,chr1,1226,0
1227,chr1,1227,0
1228,chr1,1228,0
1229,chr1,1229,0
1230,chr1,1230,0
1231,chr1,1231,0
1232,chr1,1232,0
1233,chr1,1233,0
1234,chr1,1234,0
1235,chr1,1235,0
1236,chr1,1236,0
1237,chr1,1237,0
1238,chr1,1238,0
1239,chr1,1239,0
1240,chr1,1240,0
1241,chr1,1241,0
1242,chr1,1242,0
1243,chr1,1243,0
1244,chr1,1244,0
1245,chr1,1245,0
1246,chr1,1246,0
1247,chr1,1247,0
1248,chr1,1248,0
1249,chr1,1249,0
1250,chr1,1250,0
1251,chr1,1251,0
1252,chr1,1252,0
1253,chr1,1253,0
1254,chr1,1254,0
1255,chr1,1255,0
1256,chr1,1256,0
1257,chr1,1257,0
1258,chr1,1258,0
1259,chr1,1259,0
1260,chr1,1260,0
1261,chr1,1261,0
1262,chr1,1262,0
1263,chr1,1263,0
1264,chr1,1264,0
1265,chr1,1265,0
1266,chr1,1266,0
1267,chr1,1267,0
1268,chr1,1268,0
1269,chr1,1269,0
1270,chr1,1270,0
1271,chr1,1271,0
1272,chr1,1272,0
1273,chr1,1273,0
1274,chr1,1274,0
1275,chr1,1275,0
1276,chr1,1276,0
1277,chr1,1277,0
1278,chr1,1278,0
1279,chr1,1279,0
1280,chr1,1280,0
1281,chr1,1281,0
1282,chr1,1282,0
1283,chr1,1283,0
1284,chr1,1284,0
1285,chr1,1285,0
1286,chr1,1286,0
1287,chr1,1287,0
1288,chr1,1288,0
1289,chr1,1289,0
1290,chr1,1290,0
1291,chr1,1291,0
1292,chr1,1292,0
1293,chr1,1293,0
1294,chr1,1294,0
1295,chr1,1295,0
1296,chr1,1296,0
1297,chr1,1297,0
1298,chr1,1298,0
1299,chr1,1299,0
1300,chr1,1300,0
1301,chr1,1301,0
1302,chr1,1302,0
1303,chr1,1303,0
1304,chr1,1304,0
1305,chr1,1305,0
